Unit_ID,Unit_Name,Unit_name_local_script,Fuel_type,Unit_type,Country_Area,Subnational_unit__province__state_,Latitude,Longitude,Location_accuracy,Status,Status_year,Discovery_year,FID_Year,Production_start_year,Operator,Owner,Parent,Onshore_Offshore,Production_Type,Basin,Concession___block,Project_or_complex,Government_unit_ID,Wiki_URL,TS,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Bathymetry_class,Bathymetry_GEBCO_1km
OG0017212,Aries-Aries Norte (Estado Nacional),Aries-Aries Norte (Estado Nacional),oil and gas,field,Argentina,Estado Nacional,-52.68165,-68.0468,approximate,operating,2022,,,,Total Austral Sa,TotalEnergies (37.5%);Wintershall Energia SA (37.5%);Pan American Energy (25%),TotalEnergies (37.5%);BASF SE (27.3%);LetterOne Holdings (10.2%);Bridas Corp. (12.5%);BP (12.5%),Offshore,Unknown,Austral,Cuenca Marina Austral 1,,AES_TAU_EN,https://www.gem.wiki/Aries-Aries_Norte_(Estado_Nacional)_Oil_and_Gas_Field_(Argentina),,,,,,,-50,-74
OG0017228,Cañadon Alfa-Ara-Ara Sur-Antares-Argo (Tierra del Fuego),Cañadon Alfa-Ara-Ara Sur-Antares-Argo (Tierra del Fuego),oil and gas,field,Argentina,Tierra del Fuego,-52.71909,-68.4018,approximate,operating,2024,,,,Total Austral S.A.,TotalEnergies Austral S.A. (37.5%);Wintershall Energia SA (37.5%);Pan American Energy (25%),TotalEnergies (37.5%);BASF SE (27.3%);LetterOne Holdings (10.2%);Bridas Corp. (12.5%);BP (12.5%),Offshore,Conventional,Austral,Cuenca Marina Austral 1,Cañadon Alfa-Ara-Ara Sur-Antares-Argo; Cuenca Marina Austral (CMA I),ALF_TAU_TF,https://www.gem.wiki/Cañadon_Alfa-Ara-Ara_Sur-Antares-Argo_(Tierra_del_Fuego)_Oil_and_Gas_Field_(Argentina),,,,,,,-30,-23
OG0017335,Magallanes (Estado Nacional),Magallanes (Estado Nacional),oil and gas,field,Argentina,Estado Nacional,-52.5623,-68.2474,exact,operating,2024,,,,Enap Sipetrol Argentina S.A.,YPF (50%);Enap Sipetrol Argentina S.A. (50%),YPF (50%);ENAP (50%),Offshore,Unknown,Austral,Magallanes,,MAG_SIPA_EN,https://www.gem.wiki/Magallanes_(Estado_Nacional)_Oil_and_Gas_Field_(Argentina),,,,,,,-50,-73
OG0017336,Magallanes (Santa Cruz),Magallanes (Santa Cruz),oil and gas,field,Argentina,Santa Cruz,-52.56227,-68.24742,approximate,operating,2024,,,,Enap Sipetrol Argentina S.A.,YPF (50%);Enap Sipetrol Argentina S.A. (50%),YPF (50%);ENAP (50%),Offshore,Conventional,Austral,Magallanes,Magallanes (Santa Cruz),MAG_SIPA_SC,https://www.gem.wiki/Magallanes_(Santa_Cruz)_Oil_and_Gas_Field_(Argentina),,,,,,,-50,-73
OG0017337,Magallanes (Tierra del Fuego),Magallanes (Tierra del Fuego),oil and gas,field,Argentina,Tierra del Fuego,-52.56227,-68.24742,approximate,operating,2022,,,,Enap Sipetrol Argentina Sa,YPF (50%);Enap Sipetrol Argentina S.A. (50%),YPF (50%);ENAP (50%),Offshore,Conventional,Austral,"Magallanes, Poseidon",Magallanes (Tierra del Fuego),MAG_SIPA_TF,https://www.gem.wiki/Magallanes_(Tierra_del_Fuego)_Oil_and_Gas_Field_(Argentina),,,,,,,-50,-73
OG0017392,Vega Pleyade (Estado Nacional),Vega Pléyade (Estado Nacional),oil and gas,field,Argentina,Estado Nacional,-53.4357,-67.7269,exact,operating,2024,,,,Total Austral S.A.,TotalEnergies Austral S.A. (37.5%);Wintershall Energia SA (37.5%);Pan American Energy (25%),TotalEnergies (37.5%);BASF SE (27.3%);LetterOne Holdings (10.2%);Bridas Corp. (12.5%);BP (12.5%),Offshore,Conventional,Austral,Cuenca Marina Austral 1,Vega Pleyade; Cuenca Marina Austral (CMA I),VPY_TAU_EN,https://www.gem.wiki/Vega_Pleyade_(Estado_Nacional)_Oil_and_Gas_Field_(Argentina),,,,,,,-30,-48
OG0017393,Vega Pleyade (Tierra del Fuego),Vega Pléyade (Tierra del Fuego),oil and gas,field,Argentina,Tierra del Fuego,-53.4357,-67.7269,exact,operating,2024,,,2010,Total Austral S.A.,TotalEnergies Austral S.A. (37.5%);Wintershall Energia SA (37.5%);Pan American Energy (25%),TotalEnergies (37.5%);BASF SE (27.3%);LetterOne Holdings (10.2%);Bridas Corp. (12.5%);BP (12.5%),Offshore,Conventional,Austral,Cuenca Marina Austral 1,Vega Pleyade; Cuenca Marina Austral (CMA I),VPY_TAU_TF,https://www.gem.wiki/Vega_Pleyade_(Tierra_del_Fuego)_Oil_and_Gas_Field_(Argentina),,,,,,,-30,-48
OG0018940,Fenix,Fénix,gas,field,Argentina,Tierra del Fuego,-53.0714,-67.5616,exact,operating,2024,1985,2022,2024,Totalenergies Austral S.A.,TotalEnergies Austral S.A. (37.5%);Wintershall Energia SA (37.5%);Pan American Energy (25%),TotalEnergies (37.5%);BASF SE (27.3%);LetterOne Holdings (10.2%);Bridas Corp. (12.5%);BP (12.5%),Offshore,Conventional,Austral,CMA-1,Fenix,,"https://www.gem.wiki/Fenix_Gas_Field_(Tierra_del_Fuego,_Argentina)",,,,,,,-50,-71
OG0017227,Carina-Fenix-Orion-Orion Norte-Orion Oeste (Estado Nacional),Carina-Fenix-Orion-Orion Norte-Orion Oeste (Estado Nacional),oil and gas,field,Argentina,Estado Nacional,-52.94268,-67.26812,approximate,operating,2024,,,,Total Austral S.A.,TotalEnergies (37.5%);Wintershall Energia SA (37.5%);Pan American Energy (25%),TotalEnergies (37.5%);BASF SE (27.3%);LetterOne Holdings (10.2%);Bridas Corp. (12.5%);BP (12.5%),Offshore,Conventional,Austral,Cuenca Marina Austral 1,Carina-Fenix-Orion-Orion Norte-Orion Oeste,FEX_TAU_EN,https://www.gem.wiki/Carina-Fenix-Orion-Orion_Norte-Orion_Oeste_(Estado_Nacional)_Oil_and_Gas_Field_(Argentina),,,,,,,-50,-81
OG0013107,Luiperd,,oil and gas,field,South Africa,,-35.7985,23.1777,exact,in development,2022,2020,,2026 (expected),TotalEnergies,TotalEnergies (45%);QatarEnergy (25%);Main Street (10%);CNR International (20%),TotalEnergies (45%);QatarEnergy (25%);Africa Energy Corp. (4.9%);Canadian Natural Resources (20%),Offshore,Conventional,Outeniqua,11B/12B,Paddavissie Fairway,,https://www.gem.wiki/Luiperd_Oil_and_Gas_Field_(South_Africa),0.073072,0.0269757,0.0117,,,,-100,-2038
