Unit_ID,Unit_Name,Country_Area,Status,Production_start_year,Operator,Latitude,Longitude,Cat_3,Bathymetry_class,RiskScore
OG0009654,Marlin,Australia,operating,1969,Esso,-38.231667,148.219167,0.0225282,-50,3.364285714
OG0009659,Snapper,Australia,operating,1981,Esso,-38.20055064,147.9557265,0.0223917,-50,3.342857143
OG0010812,Kipper,Australia,operating,2017,ExxonMobil,-38.18,148.59,0.022588,-50,3.4
OG0010816,Barracouta West,Australia,operating,2021,Esso Australia Pty Ltd,-38.29468919,147.6180355,0.0222756,-30,4.414285714
OG0013070,Enterprise,Australia,operating,2024,Beach Energy Ltd,-38.64,142.97,0.0163521,5,6.342857143
OG0014049,Trefoil,Australia,discovered,2027 (expected),Beach Energy Ltd,-39.915167,145.323833,0.0219322,-50,3.257142857
OG0014050,Manta,Australia,discovered,2028 (expected),Cooper Energy,-38.28,148.72,0.0225235,-100,1.885714286
OG0014060,Judith,Australia,discovered,2027 (expected),Emperor Energy,-38.15,148.54,0.0226441,-50,3.414285714
OG0014100,Kupe,New Zealand,operating,2009,Beach Energy Ltd,-39.8564,174.1139,0.0235024,-30,4.985714286
OG0014101,Maui,New Zealand,operating,1979,OMV New Zealand,-39.564,173.422,0.0228379,-100,1.9
OG0014103,Maari,New Zealand,operating,2009,OMV New Zealand,-39.9694,173.3119,0.0231867,-50,3.471428571
OG0018030,Pohokura,New Zealand,operating,2006,OMV New Zealand,-38.9488,174.2911,0.0236587,-5,7.85
OG0013126,Inhassoro,Mozambique,discovered,NA,Sasol,-21.6733,35.3525,0.0490245,-1,8.871428571
OG0013127,Juan de Nova Maritime Profond Block,Mozambique,discovered,NA,South Atlantic Petroleum (SAPETRO),-17.0844,42.7399,0.0939253,-1,9.071428571
OG0010004,Scarborough,Australia,in development,2026 (expected),Woodside Energy,-19.88387228,113.1470259,0.2477766,-100,3.528571429
OG0010036,Rivoli,Australia,discovered,NA,NA,-21.98143733,114.1815119,0.0608845,-20,8.357142857
OG0010056,Pyrenees,Australia,discovered,NA,Woodside,-21.54802242,114.1482336,0.0933464,-100,2.785714286
OG0010060,Macedon,Australia,operating,2013,Woodside,-21.55563443,114.1572966,0.0933464,-50,5.742857143
OG0010108,Greater Enfield,Australia,operating,NA,Woodside Energy,-21.53562728,113.8463317,0.1023858,-100,2.914285714
OG0010173,Thebe,Australia,discovered,NA,NA,-19.42349428,113.0886589,0.2455545,-100,3.5
OG0010194,Mentorc,Australia,discovered,NA,Western Gas,-20.43622932,113.7463509,0.1932712,-100,3.285714286
OG0010199,Chester,Australia,discovered,NA,NA,-20.47896333,113.9275789,0.1730142,-100,3.228571429
OG0010818,Equus Gas,Australia,discovered,2027 (expected),Western Gas,-20.11,113.79,0.1692603,-100,3.214285714
OG0009991,North Rankin,Australia,operating,1984,Woodside Energy,-19.59718747,116.1262902,0.2725658,-100,3.757142857
OG0009993,Angel,Australia,operating,2008,Woodside Energy,-19.5042585,116.5979162,0.3279435,-50,8.714285714
OG0009994,Goodwyn,Australia,operating,NA,Woodside Petroleum Ltd,-19.69225146,115.8967491,0.293154,-100,4.071428571
OG0009995,Goodwyn S/Pueblo,Australia,discovered,NA,Woodside Energy,-19.76587945,115.8635361,0.2881812,-50,8.228571429
OG0009997,Eaglehawk,Australia,discovered,NA,NA,-19.50693048,116.2782132,0.3084193,-100,4.592857143
OG0010006,Ichthys,Australia,operating,2018,INPEX Corporation,-13.9123138,123.2591829,0.2699666,-100,3.7
OG0010011,Gorgon,Australia,operating,2016,Chevron Australia,-20.38318339,114.862885,0.2103376,-100,3.314285714
OG0010045,Perseus,Australia,operating,2013,Woodside Energy,-19.58428147,116.1380172,0.2725658,-100,3.757142857
OG0010051,Maitland,Australia,discovered,NA,NA,-20.56106935,115.175518,0.229617,-50,6.857142857
OG0010071,Nimrod,Australia,discovered,NA,NA,-21.35988531,114.642612,0.1134526,-100,2.942857143
OG0010076,Hermes,Australia,operating,NA,Woodside,-19.44960149,116.4878432,0.3080269,-50,8.557142857
OG0010080,Reindeer,Australia,operating,NA,Quadrant Energy,-20.01642748,116.3070232,0.2773404,-50,7.928571429
OG0010086,John Brookes,Australia,operating,NA,Santos,-20.43242451,115.1101466,0.2300412,-50,6.892857143
OG0010099,Coaster,Australia,discovered,NA,NA,-21.6563773,114.8573245,0.0975787,5,9.242857143
OG0010100,Antiope,Australia,discovered,NA,NA,-20.84606338,114.728831,0.1926306,-100,3.271428571
OG0010109,Jansz-Io,Australia,operating,2016,Chevron Australia,-19.84755837,114.483333,0.2625821,-100,3.671428571
OG0010116,Chamois,Australia,discovered,NA,NA,-20.3752776,116.0235291,0.2517581,-30,8.628571429
OG0010125,Blacktip,Australia,operating,2009,Eni S.P.A.,-13.90416787,128.4846802,0.1183774,-50,6.085714286
OG0010157,Pluto,Australia,operating,2012,Woodside energy,-19.88618541,115.1378181,0.2708285,-100,3.714285714
OG0010164,Pemberton,Australia,operating,NA,Woodside Energy,-19.83415744,115.6679341,0.258301,-50,7.607142857
OG0010168,Xena,Australia,operating,NA,Woodside Energy,-19.96531641,115.2163121,0.2401365,-100,3.457142857
OG0010170,Prelude,Australia,operating,2018,Shell,-13.8147198,123.3406179,0.2796458,-100,3.785714286
OG0010211,Dorado,Australia,discovered,2028 (expected),Santos,-19.027222,118.743539,0.2964965,-50,8.414285714
OG0010795,Wheatstone,Australia,operating,2017,Chevron,-19.93049042,115.3354581,0.2401344,-100,3.435714286
OG0010796,Wheatstone/Iago,Australia,operating,2017,Chevron,-19.93049042,115.3354581,0.2401344,-100,3.435714286
OG0010808,Julimar-Brunello,Australia,operating,2016,Woodside Petroleum Ltd,-20.0314,115.1765,0.2427497,-100,3.485714286
OG0010809,North Rankin,Australia,operating,NA,Woodside Energy,-19.5842306,116.1380722,0.2725658,-100,3.757142857
OG0010813,Persephone,Australia,operating,2017,Woodside Energy,-19.492861,116.124639,0.2885543,-100,4.014285714
OG0010814,Tidepole,Australia,operating,NA,Woodside Energy,-19.762471,115.890091,0.2802202,-50,8
OG0010815,Pyxis,Australia,operating,2021,Woodside Energy,-19.8961912,115.1790584,0.2627524,-100,3.685714286
OG0010819,Montara,Australia,operating,NA,Jadestone,-12.6648,124.5444,0.1385377,-50,6.15
OG0013066,Gorgon,Australia,operating,2016,Chevron Australia,-20.4072,114.8503,0.2011157,-100,3.3
OG0014053,Greater Western Flank Phase 3,Australia,operating,NA,Woodside Energy,-19.6460955,116.0219058,0.2964836,-100,4.171428571
OG0017175,Greater Western Flank Phase 1,Australia,operating,2015,Woodside Energy,-19.78666645,115.7811231,0.2881812,-100,3.978571429
OG0017176,Greater Western Flank Phase 2,Australia,operating,2018,Woodside Energy,-19.78666645,115.7811231,0.2881812,-100,3.978571429
OG0020350,Browse to North West Shelf,Australia,discovered,2026 (expected),Woodside Energy,-13.99,121.98,0.250974,-100,3.557142857
OG0020351,Clio-Acme,Australia,discovered,2027 (expected),Chevron,-20.21,114.82,0.2239937,-100,3.364285714
OG0020352,Crux,Australia,in development,2027 (expected),Shell Australia,-12.964572,124.442558,0.1620754,-100,3.028571429
OG0020781,Pavo,Australia,discovered,NA,Santos,-19.0352826,119.1848064,0.3054978,-50,8.485714286
OG0020782,Brees,Australia,discovered,NA,Finder Energy Holdings Limited,-19.11015919,117.762762,0.3189377,-100,4.9
OG0020783,Favre,Australia,discovered,NA,Finder Energy Holdings Limited,-19.11015919,117.762762,0.3189377,-100,4.9
OG0020784,Brady,Australia,discovered,NA,Finder Energy Holdings Limited,-19.11015919,117.762762,0.3189377,-100,4.9
OG0013080,Stabroek,Guyana,operating,NA,ExxonMobil,7.9904,-57.0997,0.0213104,-100,1.764285714
