LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,Cat1_AEP,Cat2_AEP,Cat3_AEP,Cat4_AEP,Cat5_AEP,bathymetry_class
-179.25,-52.25,554,1,48.0375786,1.5109384,0.7722232,0.0734501,0.0133005,,,-100
-179.25,-51.75,554,1,48.0375786,1.5949222,0.7717668,0.0711044,0.0186096,,,-100
-179.25,-51.25,554,1,52.0587349,1.7332604,0.8411086,0.075578,0.0151073,,,-100
-179.25,-50.75,554,1,52.0587349,1.7344263,0.8545883,0.0828986,0.0196851,,,-100
-179.25,-50.25,554,1,58.0411949,1.8079232,0.7529559,0.0798196,0.0168855,,,-100
-179.25,-49.75,554,1,58.0411949,1.7698649,0.7303435,0.0656888,0.0181911,,,-100
-179.25,-49.25,554,1,68.0595703,1.8726637,0.7338187,0.061391,0.0171148,,,-100
-179.25,-48.75,554,1,68.0595703,2.0224857,0.7870013,0.0548585,0.0277147,,,-100
-179.25,-48.25,554,1,81.7674942,2.0457664,0.7949032,0.0369019,0.0290568,,,-100
-179.25,-47.75,554,1,81.7674942,2.0878072,0.8295652,0.032394,0.0298004,,,-100
-179.25,-47.25,554,1,94.4087982,2.4186385,0.9926499,0.0557867,0.0308543,,,-100
-179.25,-46.75,554,1,94.4087982,2.4079509,0.944018,0.0557991,0.0316307,,,-100
-179.25,-46.25,554,1,77.4825211,2.5351708,0.9874985,0.0504121,0.0320936,,,-100
-179.25,-45.75,554,1,77.4825211,2.6959407,1.0773492,0.0623544,0.0268916,,,-100
-179.25,-45.25,554,1,80.8553391,2.7705317,1.1496861,0.0457446,0.0261544,,,-100
-179.25,-44.75,554,1,80.8553391,2.8070598,1.1194462,0.0431588,0.0270448,,,-100
-179.25,-44.25,554,1,82.6315765,2.9418139,1.1027732,0.0332225,0.0262797,,,-100
-179.25,-43.25,554,1,79.950943,3.1444173,1.1264343,0.0378883,0.0211878,,,-100
-179.25,-42.75,554,1,79.950943,3.2430272,1.1380237,0.0359536,0.0193118,,,-100
-179.25,47.75,959,1,118.8840179,0.4054627,0.2378083,0.057581,0.0202155,0.0133898,,-100
-179.25,48.25,959,1,118.8840179,0.3809104,0.2249524,0.0389866,0.0137016,,,-100
-179.25,48.75,959,1,116.0626144,0.314626,0.1720356,0.0436192,0.0216597,,,-100
-179.25,49.25,959,1,116.0626144,0.3013571,0.1624304,0.0365951,0.0230515,0.0139594,,-100
-179.25,49.75,959,1,111.9934311,0.3021316,0.15621,0.0336493,0.0184369,0.0168359,,-100
-179.25,50.25,959,1,111.9934311,0.2835827,0.1560183,0.0342979,0.0159144,,,-100
-179.25,50.75,959,1,112.9335861,0.2493138,0.1356889,0.0240666,0.013581,,,-100
-179.25,51.25,959,1,112.9335861,0.2248683,0.1006709,0.026322,0.0152402,,,-100
-179.25,51.75,959,1,109.6084518,0.1861854,0.0900704,0.0301041,0.0144816,,,-100
-179.25,52.25,959,1,109.6084518,0.213688,0.0889181,0.0278991,0.0160572,0.0124984,,-100
-179.25,52.75,959,1,104.5697784,0.1932449,0.0890501,0.0259763,0.0140468,,,-100
-179.25,59.25,959,1,108.8465881,0.0455501,0.0226996,0.0144925,,,,-100
-179.25,59.75,959,1,108.8465881,0.0361985,0.0218065,0.0175545,,,,-100
-179.25,60.25,649,1,108.8465881,,,,,,,-100
-179.25,60.75,649,1,,,,,,,,-100
-179.25,61.25,649,1,,,,,,,,-100
-179.25,61.75,649,1,,,,,,,,-100
-179.25,62.25,649,1,,,,,,,,-50
-179.25,62.75,649,1,,,,,,,,-50
-179.25,63.25,649,1,,,,,,,,-50
-179.25,63.75,649,1,,,,,,,,-50
-179.25,64.25,649,1,,,,,,,,-50
-179.25,64.75,649,1,,,,,,,,-50
-179.25,65.25,649,1,,,,,,,,-20
-179.25,65.75,649,1,,,,,,,,5
-179.25,66.25,649,1,,,,,,,,5
-178.75,-52.75,554,1,45.0620461,1.5112679,0.800803,0.0616907,0.0124798,,,-100
-178.75,-52.25,554,1,49.7593803,1.6128113,0.7161098,0.0643578,0.0128115,,,-100
-178.75,-51.75,554,1,48.0375786,1.6531342,0.7568192,0.0912592,0.0193492,,,-100
-178.75,-51.25,554,1,53.858593,1.7614861,0.861734,0.0696765,0.0164033,,,-100
-178.75,-49.75,554,1,58.0411949,1.7949173,0.780543,0.0582503,0.0260026,,,-100
-178.75,-49.25,554,1,70.5512619,1.9241446,0.7188128,0.0611471,0.0269831,,,-100
-178.75,-47.75,554,1,81.7674942,2.1280699,0.9190325,0.0347708,0.0308889,,,-100
-178.75,-47.25,554,1,93.4408875,2.3150871,0.9602196,0.0294866,0.0307131,,,-100
-178.75,-46.75,554,1,94.4087982,2.455466,0.9378124,0.0424947,0.0334148,,,-100
-178.75,-46.25,554,1,77.6437988,2.5234737,1.0330713,0.0348823,0.0335925,,,-100
-178.75,-45.75,554,1,77.4825211,2.7078412,1.1269562,0.0630108,0.0198511,0.012054,,-100
-178.75,-45.25,554,1,80.2180252,2.8937352,1.2036825,0.0748927,0.026854,0.0167791,,-100
-178.75,-44.75,554,1,80.8553391,3.0355401,1.1737281,0.0350103,0.0270878,0.0169889,,-100
-178.75,-44.25,554,1,78.9014664,3.0479975,1.0856783,0.0304328,0.0278518,0.0166934,,-100
-178.75,-43.75,554,1,82.6315765,3.0926011,1.0807759,0.0287419,0.0255488,0.0143148,,-100
-178.75,-43.25,554,1,79.1050873,3.367667,1.1935271,0.0305575,0.0221379,0.0120826,,-100
-178.75,-42.75,554,1,79.950943,3.4975474,1.2131778,0.0416813,0.019072,,,-100
-178.75,47.75,959,1,116.9991531,0.6374884,0.3808341,0.0919883,0.0229062,0.0157181,,-100
-178.75,48.25,959,1,118.8840179,0.5808818,0.3881648,0.0721904,0.0182591,0.013677,,-100
-178.75,48.75,959,1,114.9805222,0.5234091,0.3326164,0.0771799,0.0214801,0.0146698,,-100
-178.75,49.25,959,1,116.0626144,0.5079708,0.3254219,0.0798102,0.0271549,0.0175189,,-100
-178.75,49.75,959,1,111.4412842,0.4853085,0.3093696,0.0650184,0.0257819,0.0168197,,-100
-178.75,50.25,959,1,111.9934311,0.4928002,0.2931776,0.0665118,0.0219257,0.016529,,-100
-178.75,50.75,959,1,112.2609329,0.4468967,0.2828855,0.0406155,0.0152838,,,-100
-178.75,51.25,959,1,112.9335861,0.4352401,0.2444166,0.0606285,0.0172214,0.0134444,,-100
-178.75,52.25,959,1,109.6084518,0.4029826,0.2109517,0.0525915,0.0203947,0.0138161,,-100
-178.75,52.75,959,1,103.2790222,0.3340824,0.2020738,0.0404184,0.0191188,0.0140442,,-100
-178.75,58.75,959,1,113.0550537,0.1626894,0.0819114,0.0209473,0.0137735,0.0121353,,-100
-178.75,59.25,959,1,108.8465881,0.1272108,0.0699344,0.0222048,0.0140374,,,-100
-178.75,59.75,959,1,108.8465881,0.0817204,0.0404165,0.0179274,0.014183,,,-100
-178.75,60.25,649,1,113.0550537,,,,,,,-100
-178.75,60.75,649,1,,,,,,,,-100
-178.75,61.25,649,1,,,,,,,,-100
-178.75,61.75,649,1,,,,,,,,-100
-178.75,62.25,649,1,,,,,,,,-50
-178.75,62.75,649,1,,,,,,,,-50
-178.75,63.25,649,1,,,,,,,,-50
-178.75,63.75,649,1,,,,,,,,-50
-178.75,64.25,649,1,,,,,,,,-50
-178.75,64.75,649,1,,,,,,,,-50
-178.75,65.25,649,1,,,,,,,,-50
-178.75,65.75,649,1,,,,,,,,5
-178.75,66.25,649,1,,,,,,,,5
-178.25,-52.75,554,1,45.647049,1.5122193,0.7983514,0.0853805,0.0141614,,,-100
-178.25,-51.75,554,1,49.7593803,1.7416523,0.7996259,0.0763123,0.0195974,,,-100
-178.25,-51.25,554,1,53.858593,1.7798086,0.8510439,0.0743059,0.0185797,,,-100
-178.25,-50.75,554,1,53.858593,1.8212361,0.911112,0.0819737,0.0166376,,,-100
-178.25,-50.25,554,1,60.0310211,1.842423,0.8262797,0.0526083,0.0259599,,,-100
-178.25,-49.75,554,1,60.0310211,1.8168929,0.7643605,0.0460732,0.0243312,,,-100
-178.25,-49.25,554,1,70.5512619,1.9048009,0.7151592,0.0436076,0.0194733,,,-100
-178.25,-48.75,554,1,70.5512619,2.0407038,0.815555,0.0418329,0.0276103,,,-100
-178.25,-48.25,554,1,88.8364182,2.1856935,0.8434297,0.0302034,0.0292296,,,-100
-178.25,-47.75,554,1,88.8364182,2.3043332,0.9312784,0.0495948,0.0303453,,,-100
-178.25,-47.25,554,1,93.4408875,2.346595,0.9454387,0.0409995,0.0313576,,,-100
-178.25,-46.75,554,1,93.4408875,2.4796939,0.9557111,0.0359634,0.0324974,,,-100
-178.25,-46.25,554,1,77.6437988,2.6093631,1.0714843,0.038435,0.0330031,,,-100
-178.25,-45.75,554,1,77.6437988,2.7546809,1.0365844,0.0516101,0.0344181,0.0220606,,-100
-178.25,-45.25,554,1,80.2180252,3.050045,1.1794776,0.0310425,0.0317499,0.017282,,-100
-178.25,-44.75,554,1,80.2180252,3.1617992,1.2629762,0.0370365,0.0277289,0.0176067,,-100
-178.25,-44.25,554,1,78.9014664,3.2270079,1.1919889,0.0344353,0.0279693,0.0176194,,-100
-178.25,-43.75,554,1,78.9014664,3.3741188,1.1846161,0.0390945,0.0263039,0.0169857,,-100
-178.25,-43.25,554,1,79.1050873,3.5000131,1.2647233,0.0278508,0.0224741,0.0131819,,-100
-178.25,-42.75,554,1,79.1050873,3.6071858,1.3204992,0.0430249,0.0187143,,,-100
-178.25,47.75,959,1,116.9991531,0.8999069,0.5432585,0.1194932,0.0257673,0.0140282,,-100
-178.25,48.25,959,1,116.9991531,0.8438407,0.5330709,0.1078809,0.024733,0.0184635,,-100
-178.25,48.75,959,1,114.9805222,0.7537224,0.4694343,0.1029817,0.0271262,0.0165944,,-100
-178.25,51.75,959,1,107.4953308,0.5816506,0.3749291,0.0717244,0.0198831,0.0129853,,-100
-178.25,52.75,959,1,103.2790222,0.5433353,0.3231149,0.0649052,0.0210653,0.0154198,,-100
-178.25,53.25,959,1,103.2790222,0.5271195,0.3032306,0.0532854,0.0207422,0.0140492,,-100
-178.25,53.75,959,1,102.6376495,0.5085277,0.3025226,0.0508798,0.0142072,0.0152387,,-100
-178.25,58.25,959,1,108.9346085,0.2998803,0.1624098,0.0310604,0.0155782,,,-100
