LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-179.25,-52.25,554,1,48.0375786,1.5109384,-100,3,3.787862145
-179.25,-51.75,554,1,48.0375786,1.5949222,-100,3,3.887958259
-179.25,-51.25,554,1,52.0587349,1.7332604,-100,3,4.369902513
-179.25,-50.75,554,1,52.0587349,1.7344263,-100,3,4.374845531
-179.25,-50.25,554,1,58.0411949,1.8079232,-100,3,4.971714953
-179.25,-49.75,554,1,58.0411949,1.7698649,-100,3,4.896333928
-179.25,-49.25,554,1,68.0595703,1.8726637,-100,3,5.614307291
-179.25,-48.75,554,1,68.0595703,2.0224857,-100,3,5.710696142
-179.25,-48.25,554,1,81.7674942,2.0457664,-100,3,6.441027049
-179.25,-47.75,554,1,81.7674942,2.0878072,-100,3,6.475628175
-179.25,-47.25,554,1,94.4087982,2.4186385,-100,3,7.571742414
-179.25,-46.75,554,1,94.4087982,2.4079509,-100,3,7.56803515
-179.25,-46.25,554,1,77.4825211,2.5351708,-100,3,6.3174516
-179.25,-45.75,554,1,77.4825211,2.6959407,-100,3,6.343402444
-179.25,-45.25,554,1,80.8553391,2.7705317,-100,3,6.653576823
-179.25,-44.75,554,1,80.8553391,2.8070598,-100,3,6.670877386
-179.25,-44.25,554,1,82.6315765,2.9418139,-100,3,6.873541123
-179.25,-43.25,554,1,79.950943,3.1444173,-100,3,6.699299739
-179.25,-42.75,554,1,79.950943,3.2430272,-100,3,6.740079638
-179.25,47.75,959,1,118.8840179,0.4054627,-100,3,6.511465056
-179.25,48.25,959,1,118.8840179,0.3809104,-100,3,6.46327063
-179.25,48.75,959,1,116.0626144,0.314626,-100,3,6.170396814
-179.25,49.25,959,1,116.0626144,0.3013571,-100,3,6.151860497
-179.25,49.75,959,1,111.9934311,0.3021316,-100,3,5.983797885
-179.25,50.25,959,1,111.9934311,0.2835827,-100,3,5.962790059
-179.25,50.75,959,1,112.9335861,0.2493138,-100,3,5.944253742
-179.25,51.25,959,1,112.9335861,0.2248683,-100,3,5.879994508
-179.25,51.75,959,1,109.6084518,0.1861854,-100,3,5.653851435
-179.25,52.25,959,1,109.6084518,0.213688,-100,3,5.716874914
-179.25,52.75,959,1,104.5697784,0.1932449,-100,3,5.37209941
-179.25,59.25,959,1,108.8465881,0.0455501,-100,3,4.827131677
-179.25,59.75,959,1,108.8465881,0.0361985,-100,3,4.683784155
-179.25,60.25,649,1,108.8465881,NA,-100,2,7.771934642
-178.75,-52.75,554,1,45.0620461,1.5112679,-100,3,3.5283537
-178.75,-52.25,554,1,49.7593803,1.6128113,-100,3,4.027598517
-178.75,-51.75,554,1,48.0375786,1.6531342,-100,3,3.955924756
-178.75,-51.25,554,1,53.858593,1.7614861,-100,3,4.609638885
-178.75,-49.75,554,1,58.0411949,1.7949173,-100,3,4.949471372
-178.75,-49.25,554,1,70.5512619,1.9241446,-100,3,5.75147604
-178.75,-47.75,554,1,81.7674942,2.1280699,-100,3,6.50157902
-178.75,-47.25,554,1,93.4408875,2.3150871,-100,3,7.480296581
-178.75,-46.75,554,1,94.4087982,2.455466,-100,3,7.584099959
-178.75,-46.25,554,1,77.6437988,2.5234737,-100,3,6.321158863
-178.75,-45.75,554,1,77.4825211,2.7078412,-100,3,6.348345462
-178.75,-45.25,554,1,80.2180252,2.8937352,-100,3,6.633804751
-178.75,-44.75,554,1,80.8553391,3.0355401,-100,3,6.737608129
-178.75,-44.25,554,1,78.9014664,3.0479975,-100,3,6.56213099
-178.75,-43.75,554,1,82.6315765,3.0926011,-100,3,6.94150762
-178.75,-43.25,554,1,79.1050873,3.367667,-100,3,6.686942194
-178.75,-42.75,554,1,79.950943,3.4975474,-100,3,6.801867362
-178.75,47.75,959,1,116.9991531,0.6374884,-100,3,6.773445009
-178.75,48.25,959,1,118.8840179,0.5808818,-100,3,6.800631608
-178.75,48.75,959,1,114.9805222,0.5234091,-100,3,6.459563367
-178.75,49.25,959,1,116.0626144,0.5079708,-100,3,6.51270081
-178.75,49.75,959,1,111.4412842,0.4853085,-100,3,6.230948785
-178.75,50.25,959,1,111.9934311,0.4928002,-100,3,6.265549911
-178.75,50.75,959,1,112.2609329,0.4468967,-100,3,6.212412467
-178.75,51.25,959,1,112.9335861,0.4352401,-100,3,6.24330633
-178.75,52.25,959,1,109.6084518,0.4029826,-100,3,6.071536455
-178.75,52.75,959,1,103.2790222,0.3340824,-100,3,5.662501716
-178.75,58.75,959,1,113.0550537,0.1626894,-100,3,5.737882741
-178.75,59.25,959,1,108.8465881,0.1272108,-100,3,5.386928464
-178.75,59.75,959,1,108.8465881,0.0817204,-100,3,5.181793217
-178.75,60.25,649,1,113.0550537,NA,-100,2,8.149457641
-178.25,-52.75,554,1,45.647049,1.5122193,-100,3,3.587669916
-178.25,-51.75,554,1,49.7593803,1.7416523,-100,3,4.231498009
-178.25,-51.25,554,1,53.858593,1.7798086,-100,3,4.650418783
-178.25,-50.75,554,1,53.858593,1.8212361,-100,3,4.738157353
-178.25,-50.25,554,1,60.0310211,1.842423,-100,3,5.204036798
